trait,scheme,r,gain,gain_max
YLD,sib,0.3639528208372374,4.911538045721711,12.889250969035304
YLD,two_stage,0.36008789578627926,4.463968667572788,12.889250969035304
MST,sib,0.5899796620875244,0.9103814063864177,1.5986572207484908
MST,two_stage,0.6350371399673737,0.9916795485267611,1.5986572207484908
TWT,sib,0.49630385465279364,0.48014379641638294,0.9647566032046261
TWT,two_stage,0.5351011075977121,0.5337940568464482,0.9647566032046261
