year,trait,lam,n,r_parent,r_markers,r_combined,gain_parent,gain_markers,gain_combined,gain_max
2007,YLD,26199.0,12204,-0.0033586809649260906,0.0728350655768061,0.06472599055684543,-0.17932890863924036,0.5017566769188444,0.32796078294814,12.479583138688133
2007,MST,5406.142857142858,12199,0.1371886556026002,0.24423551849280434,0.24350278636065925,0.1290985368733565,0.30087957223501977,0.285278402472346,1.0839049298143137
2007,TWT,11644.0,12170,0.06669432310656401,0.20466439254393673,0.19656499394727903,0.11932278162379219,0.21144019795800612,0.2055302244375516,1.0842030840126
2007,ERM,26199.0,12116,0.02935569672820947,0.06874717176389557,0.06480987009778594,-0.06301577872846094,0.10291838925139599,0.09055632025232338,3.296620647446241
2007,RTLP,11644.0,10854,-0.038581318597998675,0.03303266255441787,0.01760852065759067,-0.11448788223104481,0.0896746213292596,-0.016275526385235856,4.295929311944474
2007,STLP,11644.0,11812,-0.015664526207457848,0.02674440693665895,0.010478568967374176,-0.06528750925459326,-0.05459662215759384,-0.00033834758613025123,4.112588559501589
2008,YLD,26199.0,15959,0.1080377456251972,0.14116213613390532,0.1518668671906055,1.2485159939107005,1.928133896250462,2.0000913557436193,12.686285437832815
2008,MST,5406.142857142858,15956,0.11859363476046245,0.18267882777655586,0.19077051817912913,0.23699241842804977,0.25663909955455005,0.29586716675910846,1.5965716805722512
2008,TWT,11644.0,15734,0.02372390925884713,0.22848126988499967,0.20319868174306283,-0.011585240391230708,0.23988255713670353,0.2198815747514188,0.9543102811464755
2008,ERM,26199.0,14365,0.051452874638234294,0.1365356059188512,0.12472947372745309,0.09460118214265967,0.34635358052641935,0.2809108697134813,2.770072293026872
2008,RTLP,11644.0,13087,-0.020690526217859124,-0.014004674714205804,-0.019029410794955334,-0.31832843196914895,-0.1711132373268474,-0.2048980357398078,7.993029853010928
2008,STLP,11644.0,14625,0.11988192951363955,0.04675323713582754,0.07965369340485275,0.1040954899594919,0.29860158323146807,0.26768520424923,4.212006951537023
