trait,r_newyear,r_sibmean,r_sib_augmented,gain_newyear,gain_sibmean,gain_sib_augmented,gain_max
YLD,0.13304441607264902,0.3639528208372374,0.23562784209884452,1.9332622784615452,4.911538045721711,3.2684005847755633,12.889250969035304
MST,0.18232443419322944,0.5899796620875244,0.4347398159509264,0.25950094449325267,0.9103814063864177,0.6346198671621521,1.5986572207484908
TWT,0.22958742213687486,0.49630385465279364,0.3975764058380888,0.2584137048811519,0.48014379641638294,0.40739486067689834,0.9647566032046261
