frac,trait,scheme,r,r_sd,gain,gain_max,plots_used
0.1,MST,sib,0.5495409095678171,0.00537696124462213,0.8528928497461075,1.5964413181074466,7660
0.1,MST,two,0.5487783391751924,0.004123710255407676,0.8523790834146734,1.5964413181074466,7660
0.1,TWT,sib,0.4305988816287119,0.010020525853631602,0.43423943425982964,0.9511544797147021,7660
0.1,TWT,two,0.4335547232307692,0.011226902883712052,0.43741484925756247,0.9511544797147021,7660
0.1,YLD,sib,0.29958108828190144,0.015194879437960267,3.896979936244359,12.69078890259383,7660
0.1,YLD,two,0.30085665172006687,0.015027845210304902,3.947778091786328,12.69078890259383,7660
0.2,MST,sib,0.5731537657879199,0.0037250449179363544,0.8839738391771711,1.594870402709498,15320
0.2,MST,two,0.576882840655343,0.003660932993438194,0.9138059234140563,1.594870402709498,15320
0.2,TWT,sib,0.45470791301128083,0.00753468149812566,0.44267453655752886,0.9509189446270971,15320
0.2,TWT,two,0.46197778563071434,0.008627641278199746,0.4497968492119188,0.9509189446270971,15320
0.2,YLD,sib,0.32678315343826836,0.0062163598289501605,4.130200394943271,12.71075961923617,15320
0.2,YLD,two,0.32364344577829934,0.008460254630832524,4.132182190469043,12.71075961923617,15320
0.3,MST,sib,0.5850252206266656,0.003507997551294349,0.919220877408356,1.599022657243231,22980
0.3,MST,two,0.6033613483339273,0.00553341136334858,0.9390797186440353,1.599022657243231,22980
0.3,TWT,sib,0.4693656629958836,0.000647915841401025,0.4617819527024089,0.9507616103304116,22980
0.3,TWT,two,0.49033298035904843,0.0017967598821438217,0.475781947974023,0.9507616103304116,22980
0.3,YLD,sib,0.3448561482415517,0.0072258473031622805,4.387558605841082,12.727707029946842,22980
0.3,YLD,two,0.3375239757503526,0.01207860783607507,4.184636469922247,12.727707029946842,22980
0.4,MST,sib,0.5877954208051167,0.0023998971788564485,0.9207479153085648,1.6015984189468178,30641
0.4,MST,two,0.6179879698376167,0.004288240073456333,0.9630679671880311,1.6015984189468178,30641
0.4,TWT,sib,0.4814166840073,0.0019894943303554367,0.46698654746938056,0.9492382662811144,30641
0.4,TWT,two,0.5147562667729731,0.004428232903806616,0.5117215470087154,0.9492382662811144,30641
0.4,YLD,sib,0.3479541721288231,0.006844614786296484,4.666210771517922,12.76545335364463,30641
0.4,YLD,two,0.35180917938422596,0.014906604761404027,4.455533690294005,12.76545335364463,30641
0.5,MST,sib,0.5897344677880163,0.0014731750838554735,0.919415377125881,1.6025492411514228,38301
0.5,MST,two,0.6289471481634017,0.004484124998039795,0.9806945618476647,1.6025492411514228,38301
0.5,TWT,sib,0.48257388574856974,0.0007555310840027291,0.4687372424749951,0.9502005193536546,38301
0.5,TWT,two,0.5267638543778927,0.007254871298137122,0.5239072522507272,0.9502005193536546,38301
0.5,YLD,sib,0.3509925398208711,0.005100798646288209,4.64949066857953,12.745068354593682,38301
0.5,YLD,two,0.3651009835425512,0.006102791946712463,4.592091073460081,12.745068354593682,38301
0.6,MST,sib,0.5886219519349142,0.0015276466987948407,0.920615192935049,1.606073284827099,45961
0.6,MST,two,0.6374156070467575,0.0024255013100036066,0.9960231446248199,1.606073284827099,45961
0.6,TWT,sib,0.4836286743964629,0.0015375547932589358,0.46673973973475286,0.9501191033504374,45961
0.6,TWT,two,0.5384899776444788,0.00429677302709833,0.5310813995698281,0.9501191033504374,45961
0.6,YLD,sib,0.356480916269517,0.007770146068974646,4.75970090536772,12.738100368714385,45961
0.6,YLD,two,0.37796398135543147,0.010491975236093092,4.719848879917741,12.738100368714385,45961
0.75,MST,sib,0.5868007573402151,0.002641272639458839,0.9054976473697759,1.6056261959880918,57452
0.75,MST,two,0.6496870734657157,0.007166745537541849,1.0147126344286368,1.6056261959880918,57452
0.75,TWT,sib,0.48483571731711833,0.005862629253598205,0.4786709833631222,0.9535491406781375,57452
0.75,TWT,two,0.5482689036082314,0.006670591715723781,0.5329230428191011,0.9535491406781375,57452
0.75,YLD,sib,0.36536392607609947,0.021582309323992757,4.8434083392225125,12.771483277352468,57452
0.75,YLD,two,0.4008501065318284,0.017403031028801426,4.831674364715014,12.771483277352468,57452
